taxonomy,sample204,sample34,sample170,sample72,sample222,sample5,sample100,sample123,sample87,sample147,sample59,sample105,sample171,sample210,sample33,sample132,sample169,sample127,sample177,sample4,sample224,sample0,sample14,sample12,sample96,sample8,sample125,sample189,sample187,sample16,sample115,sample61,sample104,sample38,sample120,sample139,sample128,sample9,sample25,sample107,sample162,sample70,sample223,sample2,sample192,sample212,sample85,sample106,sample60,sample175,sample179,sample80,sample17,sample66,sample88,sample134,sample78,sample130,sample51,sample32,sample64,sample143,sample23,sample92,sample27,sample73,sample39,sample135,sample122,sample168,sample182,sample93,sample156,sample118,sample1,sample116,sample52,sample181,sample26,sample103,sample209,sample151,sample148,sample207,sample145,sample219,sample108,sample178,sample196,sample119,sample7,sample101,sample191,sample18,sample44,sample75,sample215,sample198,sample74,sample144,sample126,sample217,sample117,sample158,sample152,sample102,sample35,sample95,sample15,sample165,sample62,sample136,sample221,sample19,sample161,sample77,sample202,sample94,sample49,sample22,sample99,sample214,sample110,sample133,sample86,sample124,sample13,sample90,sample159,sample98,sample24,sample55,sample63,sample53,sample188,sample42,sample163,sample180,sample208,sample47,sample89,sample84,sample216,sample167,sample153,sample71,sample220,sample43,sample21,sample164,sample211,sample6,sample206,sample131,sample28,sample176,sample184,sample36,sample20,sample112,sample190,sample48,sample57,sample174,sample195,sample203,sample185,sample218,sample11,sample150,sample213,sample46,sample45,sample114,sample113,sample83,sample10,sample31,sample82,sample41,sample37,sample149,sample30,sample129,sample173,sample76,sample183,sample186,sample160,sample142,sample121,sample199,sample69,sample166,sample155,sample68,sample141,sample146,sample111,sample157,sample67,sample138,sample154,sample194,sample201,sample172,sample193,sample56,sample79,sample3,sample197,sample81,sample29,sample97,sample58,sample54,sample50,sample65,sample40,sample200,sample91,sample137,sample205,sample140,sample109
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;NA,10,0,0,31,0,0,38,0,1,0,39,0,0,0,55,44,0,0,1,0,0,0,0,0,13,0,0,16,0,0,0,17,0,104,0,50,0,0,0,0,0,6,0,0,0,0,8,0,0,0,33,12,5,18,0,69,22,160,0,85,5,0,2,47,0,61,44,60,0,0,1,5,0,29,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,19,1,127,3,1,0,21,0,0,2,0,0,0,0,0,0,106,77,0,0,0,14,16,0,0,0,11,0,0,0,0,21,0,8,5,2,0,0,0,0,1,0,118,171,45,0,15,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,27,0,0,0,54,7,0,11,0,9,0,0,0,0,0,0,0,0,0,0,38,58,1,0,16,2,90,18,0,140,29,2,15,2,0,0,0,0,0,50,0,0,14,0,0,0,0,128,23,0,0,11,0,0,45,15,0,0,1,0,2,7,133,0,9,42,0,8,0,0,0,83
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,29,0,136,0,0,0,0,0,1,0,0,0,3,2,11,0,0,0,15,16,11,0,4,5,3,0,6,10,0,0,152,112,29,89,19,0,0,0,13,0,3,0,0,9,0,122,0,0,3,0,0,0,0,0,0,0,0,0,34,0,11,0,28,0,0,10,0,0,0,0,0,0,46,28,0,0,0,6,4,0,44,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,19,96,17,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,2,76,0,0,87,38,0,0,0,3,0,0,0,0,0,0,1,0,0,0,43,3,0,0,1,0,51,76,0,10,1,0,2,0,0,0,0,0,0,22,0,0,9,0,0,0,0,266,88,0,0,0,0,0,2,205,0,0,0,67,0,0,81,0,2,18,0,12,0,0,0,17
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;gracilis,10,0,85,0,162,18,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,47,6,25,0,38,0,0,7,7,0,1,0,0,0,0,0,70,0,0,0,1,14,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,7,0,39,10,0,0,0,0,50,0,0,2,167,7,25,3,0,0,44,0,3,0,0,0,0,11,1,9,0,0,0,3,0,0,0,1,0,0,0,5,2,0,0,0,0,0,26,0,1,1,0,8,0,15,3,4,0,0,0,0,1,1,0,0,31,0,4,0,0,0,4,0,0,0,3,0,0,0,0,1,9,0,0,36,0,0,0,0,10,61,0,0,44,0,0,7,1,0,1,0,1,2,0,0,73,0,0,0,0,40,0,19,34,0,2,2,0,3,0,0,0,11,13,0,0,0,28,45,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,287,0,0,36,6,0,0,0,5
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;NA,0,0,4,3,22,0,10,3,0,4,0,0,41,1,2,0,45,0,0,1,0,5,0,2,0,5,0,10,3,16,110,0,4,0,0,12,4,0,0,18,0,8,0,0,0,1,0,1,9,58,76,1,7,0,0,8,0,0,0,1,0,4,0,1,0,1,5,37,2,12,0,0,7,1,0,73,1,21,6,1,0,0,54,0,283,0,1,11,0,0,0,0,1,18,0,8,0,0,0,0,0,0,3,5,38,0,0,0,0,3,0,6,9,0,28,12,0,0,59,0,0,4,4,29,0,9,4,27,22,0,3,0,0,1,0,0,13,0,0,22,0,0,0,2,2,1,0,0,6,69,0,0,0,0,1,25,0,0,6,11,0,0,0,0,0,5,2,0,1,5,0,0,0,23,130,0,0,0,0,0,9,19,0,28,0,4,3,0,0,0,68,11,4,13,0,0,9,71,0,0,2,0,0,1,20,43,0,0,4,0,0,0,0,0,0,0,15,0,0,46,2,13,0,0,10
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Brochothrix;thermosphacta,0,0,9,0,1,0,0,0,0,2,0,0,0,11,0,0,0,3,29,0,56,0,0,0,0,0,0,446,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,726,0,0,20,0,0,0,0,0,0,0,51,4,0,0,18,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;fragi,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1,0,0,0,0,0,0,1305,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,0,0,0,97,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,6,0,0,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,14,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,112,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,10,0,34,0,0,3,1,0,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1049,0,0,167,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;NA,0,0,0,0,0,0,6,0,1,0,4,0,0,0,36,18,20,0,0,0,0,0,0,1,3,0,1,3,0,0,0,4,0,56,0,7,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,4,0,2,0,14,12,11,0,29,3,0,0,119,5,2,48,31,0,0,0,8,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,0,0,0,14,0,0,0,0,0,0,0,0,0,50,65,0,0,0,6,6,0,1,3,0,0,0,0,0,13,0,19,0,4,0,0,0,0,0,3,100,58,24,0,12,0,0,0,0,0,38,0,0,0,2,0,1,7,0,1,0,0,1,40,0,0,41,32,0,2,0,3,0,0,0,0,0,0,2,0,0,0,152,53,32,0,16,39,68,36,0,31,5,0,12,0,0,0,0,0,0,43,0,0,2,1,0,0,0,71,9,0,0,0,0,0,11,1,0,0,256,26,0,3,25,0,14,41,0,2,0,0,0,1
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Empedobacter;brevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1339,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Soonwooa;NA,0,0,0,11,0,0,7,0,6,0,8,0,0,0,15,2,3,0,1,0,0,0,0,0,1,0,0,17,0,0,0,3,0,48,0,169,0,0,1,0,0,7,0,0,0,0,11,0,0,0,0,7,22,2,0,0,11,12,0,45,1,0,0,16,39,23,42,10,0,0,1,1,0,17,0,0,40,0,30,0,0,5,0,0,0,0,0,0,0,0,0,87,4,16,0,30,0,0,7,0,0,0,0,0,0,44,27,0,0,0,4,17,0,35,0,0,0,0,0,22,5,0,21,0,0,0,0,0,0,0,5,122,42,22,0,1,0,0,0,0,0,44,0,0,0,12,0,0,22,0,0,0,0,0,56,0,0,36,8,0,21,0,1,0,0,1,0,0,0,1,0,0,0,12,41,0,0,19,0,41,20,0,52,17,1,10,0,0,0,0,0,0,49,0,0,1,0,0,0,0,50,19,0,0,0,0,0,9,7,0,0,19,39,2,1,27,0,2,15,0,3,0,0,0,77
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;NA,5,0,181,0,0,5,0,0,0,0,0,0,18,0,0,0,20,0,31,5,0,15,3,20,0,18,0,1,0,3,0,0,0,0,0,0,0,50,0,0,10,0,0,0,350,0,0,0,0,105,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,32,0,0,0,0,25,0,0,0,0,0,0,0,0,0,23,12,0,27,0,2,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,2,19,0,0,0,0,0,0,9,0,21,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,18,0,0,3,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,47,0,0,37,23,17,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,5,0,6,6,13,0,0,21,0,8,3,0,0,0,0,49,0,0,12,0,1,11,0,0,0,1,355,0,0,0,0,0,10,0,0,79,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;albensis,6,0,12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,42,34,0,0,0,0,0,0,0,22,125,90,0,0,0,1,0,0,0,20,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,195,0,0,0,0,0,0,8,0,0,86,0,1,20,0,0,0,0,3,0,0,0,10,0,3,0,17,5,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,27,0,3,4,0,8,0,0,11,14,0,0,0,22,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,478,74,5,0,3,10,0,2,0,0,0,0,0,0,0,0,0,2,20,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
